Area,Item,2000,2010,2015,2020,Land Area(Km2),2000 Population,2010 Population,2015 Population,2020 Population,2000/area,2010/area,2015/area,2020/area,2000/pop,2010/pop,2015/pop,2020/pop
Croatia,All sectors without LULUCF,20474.0,21710.0298,18910.0298,17590.0,56594.0,4548434.0,4368682.0,4254815.0,4096868.0,0.3617697989186133,0.3836100964766583,0.3341348870905043,0.31081033325087465,0.004501329468559949,0.004969469006899564,0.004444383551341245,0.0042935237356927294
Cuba,All sectors without LULUCF,26850.333,34590.469,29634.476,23845.482,110860.0,11105791.0,11290417.0,11339894.0,11300698.0,0.24220036983582896,0.31201938480966984,0.2673144145769439,0.21509545372541944,0.002417687582991612,0.003063701632986629,0.0026132939161512443,0.0021100893059880018
Cyprus,All sectors without LULUCF,7071.0,7631.0,6654.0,6175.0,9251.0,948237.0,1129686.0,1187280.0,1237537.0,0.7643498000216192,0.8248837963463409,0.7192735920441033,0.6674954059020647,0.00745699651036608,0.0067549743911139905,0.0056044067111380635,0.004989749801420079
Denmark,All sectors without LULUCF,53743.38,47633.81,32573.88,24453.72,43094.0,5340655.0,5550849.0,5677796.0,5825641.0,1.2471197846567967,1.1053466839931312,0.7558797048312991,0.5674506891910707,0.010063069043029366,0.008581355752966797,0.005737064170674678,0.0041976016029824014
Djibouti,All sectors without LULUCF,369.28,519.73,435.1,371.8,23200.0,742033.0,919199.0,1006259.0,1090156.0,0.015917241379310342,0.022402155172413795,0.018754310344827586,0.01602586206896552,0.0004976598075826816,0.0005654161938818471,0.00043239364815619044,0.00034105210630405193
Dominica,All sectors without LULUCF,133.1,183.1,180.61,151.0,751.0,68346.0,68755.0,70007.0,71995.0,0.17723035952063915,0.24380825565912118,0.24049267643142477,0.2010652463382157,0.0019474438884499459,0.002663079048796451,0.002579884868655992,0.0020973678727689423
Dominican Republic,All sectors without LULUCF,19620.264,20670.365,23570.413,23130.462,48670.0,8540791.0,9775755.0,10405832.0,10999664.0,0.4031284980480789,0.4247044380521882,0.4842903842202589,0.4752509143209369,0.002297242023601795,0.002114452029536338,0.0022651156582193526,0.002102833504732508
Ecuador,All sectors without LULUCF,21683.07,37253.77,42194.12,35074.48,283561.0,12626507.0,14989585.0,16195902.0,17588595.0,0.07646703883820412,0.1313783277672176,0.14880085766378312,0.12369289147661351,0.0017172659073487228,0.002485310300451947,0.002605234336438934,0.0019941604204315355
Egypt,All sectors without LULUCF,147600.147,211800.352,232900.39,243100.43,1001450.0,71371371.0,87252413.0,97723799.0,107465134.0,0.1473864366668331,0.21149368615507516,0.23256317339857208,0.2427484447551051,0.0020680581713919998,0.0024274440639252006,0.0023832514943468376,0.002262133037492886
El Salvador,All sectors without LULUCF,5737.0,6421.0,6818.0,6724.0,21041.0,5958482.0,6114034.0,6231066.0,6292731.0,0.2726581436243525,0.3051661042726106,0.3240340288009125,0.3195665605246899,0.000962829123256561,0.0010502067865504183,0.0010941947974872999,0.0010685344725525371
Equatorial Guinea,All sectors without LULUCF,2762.61,8653.0,6973.0,7310.0,28051.0,684977.0,1094524.0,1346973.0,1596049.0,0.09848525899254928,0.30847385119960075,0.2485829382196713,0.2605967701686214,0.004033142718660627,0.00790571974666613,0.005176792704827788,0.004580059885379459
Eritrea,All sectors without LULUCF,608.8,501.5,658.1,676.0,117600.0,2392880.0,3147727.0,3340006.0,3555868.0,0.005176870748299319,0.004264455782312925,0.00559608843537415,0.005748299319727891,0.00025442145030256423,0.0001593213134430019,0.0001970355741875913,0.0001901082942336442
Estonia,All sectors without LULUCF,17072.01,20989.22,20408.343,15987.326,45228.0,1396877.0,1331535.0,1314657.0,1329444.0,0.37746550809233215,0.4640757937560803,0.45123248872379945,0.35348293092774385,0.01222155565593821,0.015763175583067664,0.01552370161950988,0.012025573096723141
Eswatini,All sectors without LULUCF,1214.16,1024.38,984.78,899.08,17364.0,1030496.0,1099920.0,1133936.0,1180655.0,0.06992398064961991,0.05899447131997236,0.05671389080856945,0.05177839207555863,0.0011782287364531256,0.0009313222779838534,0.0008684617121248466,0.0007615095010820265
Ethiopia,All sectors without LULUCF,3529.618,6425.926,12801.15,15521.37,1104300.0,67031867.0,89237791.0,102471895.0,117190911.0,0.003196249207642851,0.00581900389386942,0.011592094539527302,0.014055392556370552,5.265582114846958e-05,7.200902137974259e-05,0.00012492352171295358,0.00013244516889198004
Fiji,All sectors without LULUCF,839.9,1148.63,2060.5,2601.3,18274.0,832509.0,905169.0,917200.0,920422.0,0.045961475320126954,0.06285597023092919,0.11275582795228194,0.14234978658202913,0.0010088779820998932,0.0012689674524867733,0.0022465111208024423,0.002826203632681531
Finland,All sectors without LULUCF,53810.0,64400.0,45410.0,36960.0,338145.0,5176209.0,5363271.0,5479461.0,5529468.0,0.15913291635245236,0.1904508420943678,0.13429150216623045,0.1093022224193763,0.01039563897052843,0.012007597602284129,0.008287311470964023,0.006684187339541525
France,All sectors without LULUCF,392000.0,384590.0,342210.0,281750.0,643801.0,58665453.0,62444567.0,63809769.0,64480053.0,0.6088838010503246,0.5973740332804702,0.5315462386669173,0.43763523200492077,0.006681956414791513,0.006158902503079251,0.005362971929893681,0.0043695683686860495
Gabon,All sectors without LULUCF,6418.156,5899.225,6670.273,5353.315,267667.0,1272935.0,1711105.0,2028517.0,2292573.0,0.023978137013528,0.02203941838179529,0.02492004244079397,0.019999906600365377,0.005042013928440965,0.003447611338871665,0.0032882509734944295,0.0023350685016354984
Gambia,All sectors without LULUCF,282.71,438.9,531.3,677.9,11300.0,1437539.0,1937275.0,2253133.0,2573995.0,0.02501858407079646,0.03884070796460177,0.04701769911504424,0.059991150442477874,0.0001966624905480825,0.0002265553419106735,0.00023580498798783737,0.00026336492495129165
Georgia,All sectors without LULUCF,5698.0,7124.2,10540.0,9650.0,69700.0,4265172.0,3836831.0,3771132.0,3765912.0,0.0817503586800574,0.10221233859397418,0.15121951219512195,0.13845050215208035,0.0013359367453411022,0.001856792754228685,0.0027949167517869965,0.002562460301780817
Germany,All sectors without LULUCF,870492.0,794375.0,760367.0,603759.0,357022.0,81551677.0,81325090.0,82073226.0,83328988.0,2.438202687789548,2.2250029409952328,2.12974830682703,1.6910974673829624,0.010674115260683112,0.009767895737957376,0.009264495098559913,0.007245485808612004
Ghana,All sectors without LULUCF,6470.0,9915.0,16590.0,19860.0,238533.0,19665502.0,25574719.0,28870939.0,32180401.0,0.027124129575362737,0.041566575693929145,0.06955012513991775,0.08325892014941329,0.0003290025344890764,0.00038768754409383737,0.0005746262703821306,0.0006171458211474742
Greece,All sectors without LULUCF,92160.139,85134.53,67623.63,52182.03,131957.0,11038109.0,11033783.0,10806641.0,10512232.0,0.6984103836855945,0.6451687292072418,0.5124671673348137,0.3954472290215752,0.008349268792326656,0.00771580608391519,0.006257599378012095,0.004963934395664023
Grenada,All sectors without LULUCF,191.921,261.15,261.1,267.13,349.0,107432.0,114039.0,118980.0,123663.0,0.5499169054441261,0.7482808022922636,0.748137535816619,0.7654154727793696,0.0017864416561173579,0.0022900060505616497,0.0021944864683140024,0.002160144909956899
Guatemala,All sectors without LULUCF,9852.0,11200.0,15620.0,14080.0,108889.0,11735894.0,14543121.0,16001107.0,17362718.0,0.09047745869647071,0.10285703790098173,0.1434488332154763,0.12930599050409133,0.000839475884836724,0.0007701235518840832,0.0009761824603760227,0.0008109329426418145
Guinea,All sectors without LULUCF,1532.9,2543.0,2504.5,3577.4,245857.0,8336967.0,10270728.0,11625998.0,13205153.0,0.0062349251800843586,0.01034341100721151,0.010186815913315463,0.0145507347767198,0.00018386782627303192,0.0002475968597357461,0.00021542236632072362,0.0002709093942342054
Guinea-Bissau,All sectors without LULUCF,153.36,246.23,287.56,389.98,36125.0,1230849.0,1567220.0,1788919.0,2015828.0,0.004245259515570934,0.006816055363321799,0.007960138408304498,0.01079529411764706,0.00012459692456182685,0.00015711259427521343,0.00016074512037716633,0.00019345896574509333
Guyana,All sectors without LULUCF,1753.853,1894.859,2014.222,2357.127,214969.0,759051.0,747932.0,755031.0,797202.0,0.008158632174871725,0.008814568612218505,0.009369825416687988,0.010964962389925989,0.0023105865086799175,0.0025334642721530835,0.002667734172504175,0.0029567499830657723
Haiti,All sectors without LULUCF,1362.5,2123.0,3223.0,3104.0,27750.0,8360225.0,9842880.0,10563757.0,11306801.0,0.0490990990990991,0.07650450450450451,0.11614414414414415,0.11185585585585586,0.00016297408263533578,0.00021568890406060016,0.00030509978599469866,0.0002745250402832773
Honduras,All sectors without LULUCF,5024.9,8053.1,10264.2,9623.3,112090.0,6656725.0,8450933.0,9294505.0,10121763.0,0.044829155143188505,0.07184494602551521,0.09157105897047016,0.08585333214381301,0.0007548606859979944,0.0009529243694157794,0.0011043299239712067,0.0009507533420808212
Hungary,All sectors without LULUCF,58509.7,53310.0,47481.5,49594.0,93028.0,10202055.0,9986825.0,9844246.0,9750573.0,0.6289471986928666,0.5730532742830116,0.5104000945951757,0.5331083114761147,0.0057350896461546225,0.005338032858290798,0.004823274428534191,0.0050862651866715935
Iceland,All sectors without LULUCF,2947.37,3831.68,3751.66,3001.7,103000.0,281462.0,318333.0,331060.0,366669.0,0.0286152427184466,0.037200776699029124,0.03642388349514563,0.02914271844660194,0.010471644484868295,0.012036703703354662,0.011332266054491632,0.008186402450166226
India,All sectors without LULUCF,1078600.0,1767200.0,2394200.0,2501200.0,3287263.0,1059633675.0,1240613620.0,1322866505.0,1396387127.0,0.32811490896834233,0.5375900863423462,0.7283262702132443,0.760876145291691,0.0010178989451236533,0.001424456391184872,0.001809857601617935,0.0017911938255787143
Indonesia,All sectors without LULUCF,285294.3,447129.0,519146.0,592363.0,1904569.0,214072421.0,244016173.0,259091970.0,271857970.0,0.14979467795600998,0.2347665009773865,0.2725792554640971,0.3110220737605201,0.0013326999277501513,0.0018323744467543962,0.0020037131988305157,0.002178942923762728
