Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Botswana,All sectors without LULUCF,3829.7,4132.1,4573.0,5470.6,6448.4,Botswana,581730.0,0.006583294655596239,0.007103123442146701,0.007861035188145703,0.009404019046636757,0.011084867550238083
Brazil,All sectors without LULUCF,347025.0,366944.0,438862.0,521679.0,453396.0,Brazil,8515770.0,0.040750865746726365,0.043089937844728074,0.051535210556414746,0.061260344044050036,0.05324192644939917
Bulgaria,All sectors without LULUCF,46996.3,50311.4,45847.51,47255.7,36816.35,Bulgaria,110879.0,0.42385212709349834,0.4537504847626692,0.41349137347919807,0.42619161428223556,0.33204078319609664
Burkina Faso,All sectors without LULUCF,1086.9,1188.1,2120.14,3816.19,4630.286,Burkina Faso,274200.0,0.003963894967177244,0.004332968636032093,0.007732093362509117,0.013917541940189643,0.016886528081692196
Burundi,All sectors without LULUCF,295.9,177.9,324.1,437.5,552.8,Burundi,27830.0,0.010632411067193676,0.006392382321236076,0.011645706072583544,0.015720445562342797,0.019863456701401362
Cambodia,All sectors without LULUCF,2017.57,2822.51,5147.61,8610.6,17492.3,Cambodia,181035.0,0.011144640539122268,0.01559096307343884,0.028434335901897423,0.047563178390918885,0.09662385726516971
Cameroon,All sectors without LULUCF,5953.0,5732.0,8862.0,10232.0,9920.0,Cameroon,475440.0,0.012521033148241628,0.012056200572101633,0.018639575971731447,0.021521117280834594,0.020864883055695775
Canada,All sectors without LULUCF,558790.0,587379.0,543755.0,574037.0,546321.0,Canada,9984670.0,0.05596479402924683,0.058828083451931815,0.05445898562496307,0.05749183498302898,0.054715979596721774
Central African Republic,All sectors without LULUCF,286.9,255.2,285.2,314.5,315.1,Central African Republic,622984.0,0.00046052547095912574,0.00040964133910341194,0.00045779666893531773,0.0005048283744044791,0.0005057914810011172
Chad,All sectors without LULUCF,522.7,994.1,1155.4,1231.0,1591.0,Chad,1284000.0,0.00040708722741433025,0.0007742211838006231,0.0008998442367601246,0.0009587227414330218,0.0012390965732087228
Chile,All sectors without LULUCF,60300.0164,62940.0328,72460.0491,82350.0506,77080.0594,Chile,756096.0,0.07975179924242425,0.08324344104452344,0.0958344563388776,0.10891480790799052,0.1019448051570171
China,All sectors without LULUCF,3839649.997,6413383.736,9311518.108,10722793.6,11515339.48,China,9596960.0,0.4000902365957553,0.668272425434721,0.9702570509828111,1.1173114819692902,1.1998944957569897
Colombia,All sectors without LULUCF,57483.3,61364.7,77966.0,87867.2,89308.4,Colombia,1138910.0,0.05047220588106172,0.05388020124505009,0.06845668226637751,0.07715025770254015,0.07841567814840505
Comoros,All sectors without LULUCF,104.9,141.2,163.45,171.59,228.9,Comoros,2235.0,0.0469351230425056,0.06317673378076062,0.07313199105145414,0.07677404921700223,0.10241610738255034
Congo,All sectors without LULUCF,4602.3026,4474.7032,5427.5039,5818.0051,5061.0057,Congo,2345409.0,0.0019622601431136316,0.0019078562417045384,0.0023140969869221103,0.0024805929797318935,0.0021578350300523277
