C?e d'Ivoire,All sectors with LULUCF,66895.8534,32550.5835,35941.029,39102.5454
C?e d'Ivoire,All sectors without LULUCF,6869.0,6579.0,9954.0,13109.0
Croatia,All sectors with LULUCF,19616.0603,20876.9739,17409.0245,13243.4229
Croatia,All sectors without LULUCF,20474.0,21710.0298,18910.0298,17590.0
Cuba,All sectors with LULUCF,16025.134,24336.7127,16924.6653,20796.282
Cuba,All sectors without LULUCF,26850.333,34590.469,29634.476,23845.482
Cyprus,All sectors with LULUCF,7001.4654,7367.4437,6336.8072,5926.2889
Cyprus,All sectors without LULUCF,7071.0,7631.0,6654.0,6175.0
Czechia,All sectors with LULUCF,119395.401,110067.1931,100287.1088,83554.9551
Czechia,All sectors without LULUCF,128687.1,116871.5,103777.9,89225.7
Czechoslovakia,All sectors with LULUCF,,,,
Czechoslovakia,All sectors without LULUCF,,,,
Democratic People's Republic of Korea,All sectors with LULUCF,77191.6177,52915.0965,29985.5687,29490.1232
Democratic People's Republic of Korea,All sectors without LULUCF,70778.93,51160.0,26720.5,26130.8
Democratic Republic of the Congo,All sectors with LULUCF,369516.9326,370532.5483,604726.8206,604668.4182
Democratic Republic of the Congo,All sectors without LULUCF,1931.0,2952.0,3472.0,3420.0
Denmark,All sectors with LULUCF,55293.3111,48834.3864,31836.7654,26511.632
Denmark,All sectors without LULUCF,53743.38,47633.81,32573.88,24453.72
Djibouti,All sectors with LULUCF,369.28,519.73,435.1,371.8059
Djibouti,All sectors without LULUCF,369.28,519.73,435.1,371.8
Dominica,All sectors with LULUCF,188.1922,172.5816,174.1702,137.0738
Dominica,All sectors without LULUCF,133.1,183.1,180.61,151.0
Dominican Republic,All sectors with LULUCF,12351.849,18732.8525,22395.008,21573.137
Dominican Republic,All sectors without LULUCF,19620.264,20670.365,23570.413,23130.462
Ecuador,All sectors with LULUCF,58237.2593,65792.9011,59213.7256,61197.9177
Ecuador,All sectors without LULUCF,21683.07,37253.77,42194.12,35074.48
Egypt,All sectors with LULUCF,147190.9331,211629.4919,233815.5412,243283.2477
Egypt,All sectors without LULUCF,147600.147,211800.352,232900.39,243100.43
El Salvador,All sectors with LULUCF,6818.08,7502.08,7899.08,7805.08
El Salvador,All sectors without LULUCF,5737.0,6421.0,6818.0,6724.0
Equatorial Guinea,All sectors with LULUCF,6593.5145,12483.9045,10804.3629,11142.9378
Equatorial Guinea,All sectors without LULUCF,2762.61,8653.0,6973.0,7310.0
Eritrea,All sectors with LULUCF,1045.6496,962.2148,1042.356,1125.8724
Eritrea,All sectors without LULUCF,608.8,501.5,658.1,676.0
Estonia,All sectors with LULUCF,18064.6878,22347.9082,16939.2125,20623.2594
