Country/Territory,2000 Population,2010 Population,2015 Population,2020 Population
Timor-Leste,878360,1088486,1205813,1299995
Togo,5008035,6571855,7473229,8442580
Tokelau,1666,1367,1454,1827
Tonga,102603,107383,106122,105254
Trinidad and Tobago,1332203,1410296,1460177,1518147
Tunisia,9893316,10895063,11557779,12161723
Turkey,64113547,73195345,79646178,84135428
Turkmenistan,4569132,5267970,5766431,6250438
Turks and Caicos Islands,18744,29726,36538,44276
Tuvalu,9638,10550,10877,11069
Uganda,24020697,32341728,37477356,44404611
Ukraine,48879755,45683020,44982564,43909666
United Arab Emirates,3275333,8481771,8916899,9287289
United Kingdom,58850043,62760039,65224364,67059474
United States,282398554,311182845,324607776,335942003
United States Virgin Islands,108185,106142,102803,100442
Uruguay,3292224,3352651,3402818,3429086
Uzbekistan,24925554,28614227,30949417,33526656
Vanuatu,192074,245453,276438,311685
Vatican City,651,596,564,520
Venezuela,24427729,28715022,30529716,28490453
Vietnam,79001142,87411012,92191398,96648685
Wallis and Futuna,14723,13142,12182,11655
Western Sahara,270375,413296,491824,556048
Yemen,18628700,24743946,28516545,32284046
Zambia,9891136,13792086,16248230,18927715
Zimbabwe,11834676,12839771,14154937,15669666
