Area,Item,2000,2005,2010,2015,2020
Netherlands Antilles (former),All sectors with LULUCF,5659.6014,5784.4187,4616.6187,7380.0502,5934.5924
New Caledonia,All sectors with LULUCF,-207.8877,-36.1947,-36.1947,30.9357,30.9357
New Zealand,All sectors with LULUCF,11631.139,14436.8611,12642.5887,22932.6293,23857.7889
Nicaragua,All sectors with LULUCF,23244.7479,27908.3564,28107.5408,16256.5035,24474.3469
Niger,All sectors with LULUCF,6450.4635,1999.9455,2462.9455,3410.6362,3869.1022
Nigeria,All sectors with LULUCF,126822.6758,153522.9575,163492.9575,158192.9575,194591.2677
Niue,All sectors with LULUCF,9.5783,5.0606,5.0606,5.0123,6.2307
Norfolk Island,All sectors with LULUCF,-0.07,-0.1971,-0.1971,0.4703,0.1275
North Macedonia,All sectors with LULUCF,12303.1,11600.9,9037.1,7527.3,7122.7
Northern Mariana Islands,All sectors with LULUCF,143.3228,143.3466,143.3466,183.5532,970.5256
Norway,All sectors with LULUCF,36503.7477,31289.401,38244.3136,39212.5935,37157.913
Oman,All sectors with LULUCF,22327.0,31430.0,51710.0,72100.0,77919.107
Pacific Islands Trust Territory,All sectors with LULUCF,,,,,
Pakistan,All sectors with LULUCF,117276.7602,146365.3035,167665.3035,181853.1763,269895.417
Palau,All sectors with LULUCF,216.2,224.72,212.3,224.951,265.396
Palestine,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0
Panama,All sectors with LULUCF,11574.3413,11001.4303,13332.6953,15021.352,14457.1264
Papua New Guinea,All sectors with LULUCF,29420.3363,31048.1745,29641.5992,38377.9069,41982.2481
Paraguay,All sectors with LULUCF,45801.2798,60279.4506,61526.2911,74430.6501,52516.5322
Peru,All sectors with LULUCF,88826.4518,96071.1076,108325.0626,138643.6263,136636.9147
Philippines,All sectors with LULUCF,75944.1009,77123.2549,86902.2549,115960.552,139605.1111
Pitcairn,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0
Poland,All sectors with LULUCF,311470.8511,257982.9104,270440.2184,287874.6846,274239.3329
Portugal,All sectors with LULUCF,64719.407,67570.2007,51886.2464,50662.2574,39827.9523
Puerto Rico,All sectors with LULUCF,-1157.5904,-2195.6142,-2204.6738,-532.2177,-2629.9635
Qatar,All sectors with LULUCF,39120.0062,55490.0088,79280.0202,120900.0281,107200.0365
Republic of Korea,All sectors with LULUCF,428312.3263,430950.4057,534950.4057,583170.6607,567331.148
Republic of Moldova,All sectors with LULUCF,3541.6711,4181.0678,4045.3089,4549.8248,6158.7178
R?nion,All sectors with LULUCF,-79.728,-79.728,-79.728,-108.24,-126.72
Romania,All sectors with LULUCF,96304.0823,99733.9203,81107.3899,-209168.9497,49097.1837
Russian Federation,All sectors with LULUCF,1275723.51,955330.209,1006014.464,1153433.521,1267161.863
Rwanda,All sectors with LULUCF,3040.653,2805.2011,2862.8828,2323.7593,2313.4009
