Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Morocco,All sectors without LULUCF,33460.0,44990.0,54600.0,58790.0,63110.0,Morocco,446550.0,13.35,9.93,8.18,7.6,7.08
Mozambique,All sectors without LULUCF,1478.0,2740.0,3600.0,7360.0,9070.0,Mozambique,799380.0,540.85,291.74,222.05,108.61,88.13
Myanmar,All sectors without LULUCF,10541.6,12070.5,13501.9,22605.0,29463.9,Myanmar,676578.0,64.18,56.05,50.11,29.93,22.96
Namibia,All sectors without LULUCF,1650.25,2378.2,3180.5,3898.4,4024.86,Namibia,824292.0,499.5,346.6,259.17,211.44,204.8
Nauru,All sectors without LULUCF,84.683,62.728,44.452,55.467,55.087,Nauru,21.0,0.25,0.33,0.47,0.38,0.38
Nepal,All sectors without LULUCF,3106.0,3057.0,4920.0,6830.0,14550.0,Nepal,147181.0,47.39,48.15,29.91,21.55,10.12
Netherlands,All sectors without LULUCF,188412.2,193712.4,199812.9,179213.1,155113.6,Netherlands,41543.0,0.22,0.21,0.21,0.23,0.27
New Zealand,All sectors without LULUCF,36223.16,35952.8,34162.6,38332.4,33162.15,New Zealand,268838.0,7.42,7.48,7.87,7.01,8.11
Nicaragua,All sectors without LULUCF,3752.0,4308.0,4509.0,5302.0,4990.0,Nicaragua,130370.0,34.75,30.26,28.91,24.59,26.13
Niger,All sectors without LULUCF,779.8,768.6,1231.6,2180.9,2625.0,Niger,1267000.0,1624.78,1648.45,1028.74,580.95,482.67
Nigeria,All sectors without LULUCF,80830.0,107530.0,117500.0,112200.0,148600.0,Nigeria,923768.0,11.43,8.59,7.86,8.23,6.22
North Macedonia,All sectors without LULUCF,12303.1,11600.9,9037.1,7527.3,7122.7,North Macedonia,25713.0,2.09,2.22,2.85,3.42,3.61
Norway,All sectors without LULUCF,47590.143,50100.0834,56980.138,54020.196,51940.179,Norway,323802.0,6.8,6.46,5.68,5.99,6.23
Oman,All sectors without LULUCF,22327.0,31430.0,51710.0,72100.0,77900.0,Oman,309500.0,13.86,9.85,5.99,4.29,3.97
Pakistan,All sectors without LULUCF,109230.0,139300.0,160600.0,176400.0,262900.0,Pakistan,796095.0,7.29,5.71,4.96,4.51,3.03
Panama,All sectors without LULUCF,5749.0,6768.0,9104.0,10792.0,10230.0,Panama,75420.0,13.12,11.14,8.28,6.99,7.37
Papua New Guinea,All sectors without LULUCF,3019.687,5075.958,4777.423,6579.451,8754.111,Papua New Guinea,462840.0,153.27,91.18,96.88,70.35,52.87
Paraguay,All sectors without LULUCF,3769.2,3976.234,5223.0745,6261.0119,6549.0,Paraguay,406752.0,107.91,102.3,77.88,64.97,62.11
Peru,All sectors without LULUCF,29096.73,31227.36,43487.98,49818.63,46889.27,Peru,1285216.0,44.17,41.16,29.55,25.8,27.41
Philippines,All sectors without LULUCF,73540.0,74740.0,84519.0,113531.0,137143.0,Philippines,300000.0,4.08,4.01,3.55,2.64,2.19
Poland,All sectors without LULUCF,309193.0,313997.0,326506.0,299445.0,291703.0,Poland,312685.0,1.01,1.0,0.96,1.04,1.07
Portugal,All sectors without LULUCF,63315.91,67025.5,51342.1,51515.7,39580.7,Portugal,92212.0,1.46,1.38,1.8,1.79,2.33
Qatar,All sectors without LULUCF,39120.0062,55490.0088,79280.0202,120900.0281,107200.0365,Qatar,11586.0,0.3,0.21,0.15,0.1,0.11
Romania,All sectors without LULUCF,95653.8,102475.0,83843.85,75997.24,72013.3,Romania,238391.0,2.49,2.33,2.84,3.14,3.31
Rwanda,All sectors without LULUCF,546.7,543.7,599.9,957.2,1053.0,Rwanda,26338.0,48.18,48.44,43.9,27.52,25.01
Saint Kitts and Nevis,All sectors without LULUCF,172.473,198.62,220.673,235.645,231.641,Saint Kitts and Nevis,261.0,1.51,1.31,1.18,1.11,1.13
Saint Lucia,All sectors without LULUCF,349.9029,339.207,369.301,361.2222,332.2607,Saint Lucia,616.0,1.76,1.82,1.67,1.71,1.85
Saint Vincent and the Grenadines,All sectors without LULUCF,148.0548,221.2648,221.2848,214.2448,241.2254,Saint Vincent and the Grenadines,389.0,2.63,1.76,1.76,1.82,1.61
Samoa,All sectors without LULUCF,144.4,162.43,188.39,236.59,341.78,Samoa,2831.0,19.61,17.43,15.03,11.97,8.28
Sao Tome and Principe,All sectors without LULUCF,48.366,77.781,99.917,115.02,114.14,Sao Tome and Principe,836.0,17.28,10.75,8.37,7.27,7.32
Saudi Arabia,All sectors without LULUCF,311500.0,425900.0,562700.0,701300.0,613200.0,Saudi Arabia,2149690.0,6.9,5.05,3.82,3.07,3.51
Senegal,All sectors without LULUCF,3973.0,5620.0,7400.0,9950.0,11600.0,Senegal,196722.0,49.51,35.0,26.58,19.77,16.96
Seychelles,All sectors without LULUCF,573.92,691.16,446.38,482.85,399.17,Seychelles,455.0,0.79,0.66,1.02,0.94,1.14
Sierra Leone,All sectors without LULUCF,410.9,488.9,606.3,937.6,1223.9,Sierra Leone,71740.0,174.59,146.74,118.32,76.51,58.62
Singapore,All sectors without LULUCF,51226.8,41370.7,63334.7,72097.8,46841.3,Singapore,716.0,0.01,0.02,0.01,0.01,0.02
Slovakia,All sectors without LULUCF,38082.4,41271.0,38620.3,33650.3,30842.0,Slovakia,49035.0,1.29,1.19,1.27,1.46,1.59
Slovenia,All sectors without LULUCF,15201.42,16861.49,16033.45,13442.0,12148.59,Slovenia,20273.0,1.33,1.2,1.26,1.51,1.67
Solomon Islands,All sectors without LULUCF,231.05,289.96,338.48,301.59,337.03,Solomon Islands,28896.0,125.06,99.66,85.37,95.81,85.74
Somalia,All sectors without LULUCF,506.5,625.1,646.6,666.7,624.9,Somalia,637657.0,1258.95,1020.09,986.17,956.44,1020.41
South Africa,All sectors without LULUCF,467400.0,497600.0,527800.0,509700.0,479700.0,South Africa,1219090.0,2.61,2.45,2.31,2.39,2.54
Spain,All sectors without LULUCF,306830.0,361580.0,283800.0,265720.0,216020.0,Spain,505370.0,1.65,1.4,1.78,1.9,2.34
Sri Lanka,All sectors without LULUCF,10204.0,12053.0,13131.0,19942.0,22980.0,Sri Lanka,65610.0,6.43,5.44,5.0,3.29,2.86
Suriname,All sectors without LULUCF,2241.539,1632.161,2442.185,2751.894,2715.809,Suriname,163820.0,73.08,100.37,67.08,59.53,60.32
Sweden,All sectors without LULUCF,53780.0,56365.0,57797.0,41326.0,41385.0,Sweden,450295.0,8.37,7.99,7.79,10.9,10.88
Switzerland,All sectors without LULUCF,39464.4,41861.4,39510.2,35879.53,29688.63,Switzerland,41277.0,1.05,0.99,1.04,1.15,1.39
Tajikistan,All sectors without LULUCF,2867.0,3210.0,3219.0,5670.0,6520.0,Tajikistan,144100.0,50.26,44.89,44.77,25.41,22.1
Thailand,All sectors without LULUCF,180009.42,235311.7,271214.0,300516.5,289818.6,Thailand,513120.0,2.85,2.18,1.89,1.71,1.77
Togo,All sectors without LULUCF,1354.094,1750.121,2631.147,2714.18,3613.211,Togo,56785.0,41.94,32.45,21.58,20.92,15.72
