Area,Item,2000,2005,2010,2015,2020,Entity,Land Area(Km2),2000rel,2005rel,2010rel,2015rel,2020rel
Azerbaijan,All sectors with LULUCF,41885.1119,40085.3253,28415.3253,32451.65,34303.9779,Azerbaijan,86600.0,0.4836618002309469,0.462879045034642,0.32812153926097,0.37473036951501154,0.39611983718244803
Bahamas,All sectors with LULUCF,1962.075,1843.548,2404.222,2053.185,1863.25,Bahamas,13878.0,0.1413802421098141,0.13283960224816255,0.17323980400634098,0.14794530912235193,0.13425925925925927
Bahrain,All sectors with LULUCF,21078.1374,22297.7289,31717.7289,35207.1053,27137.1111,Bahrain,765.0,27.553120784313727,29.147358039215685,41.46108352941176,46.02235986928105,35.473347843137255
Bangladesh,All sectors with LULUCF,47341.0335,59371.1388,74078.4406,92586.2258,111741.2199,Bangladesh,148460.0,0.3188807321837532,0.39991336925771254,0.49897912299609326,0.6236442529974404,0.7526688663613095
Barbados,All sectors with LULUCF,1163.0234,1323.6157,1469.6157,1279.5525,1118.2672,Barbados,430.0,2.704705581395349,3.078176046511628,3.417710930232558,2.975703488372093,2.600621395348837
Belarus,All sectors with LULUCF,45379.8065,57986.7788,60893.4354,65886.1137,61103.6775,Belarus,207600.0,0.2185925168593449,0.2793197437379576,0.2933209797687861,0.3173704898843931,0.29433370664739883
Belgium,All sectors with LULUCF,116234.3424,111398.2474,113538.1361,100820.8774,91085.8171,Belgium,30528.0,3.8074666666666666,3.6490516050838573,3.7191475399633123,3.302570669549266,2.983681115697065
Belize,All sectors with LULUCF,6882.5556,3623.6198,3756.3512,6081.2921,5761.9301,Belize,22966.0,0.2996845597840285,0.1577819298092833,0.16356140381433423,0.264795441086824,0.2508895802490638
Benin,All sectors with LULUCF,16502.9377,13247.5443,15442.5913,16354.6483,18090.7023,Benin,112622.0,0.14653387171245405,0.1176283878815862,0.13711878052245566,0.14521717160057537,0.16063204613663407
Bermuda,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0,Bermuda,54.0,0.0,0.0,0.0,0.0,0.0
Bhutan,All sectors with LULUCF,-6150.6322,-6134.2979,-5766.2979,71.1333,669.8018,Bhutan,38394.0,-0.1601977444392353,-0.1597723055685784,-0.15018747460540707,0.0018527191748710739,0.0174454810647497
Bosnia and Herzegovina,All sectors with LULUCF,17347.5079,17059.5633,22683.6949,15666.2814,20231.6246,Bosnia and Herzegovina,51197.0,0.3388383674824697,0.3332141199679669,0.44306687696544717,0.3059999882805633,0.39517207258237785
Botswana,All sectors with LULUCF,44899.1357,45240.8991,45679.4927,46564.6281,47591.9791,Botswana,581730.0,0.07718208739449572,0.07776958228043938,0.07852352930053462,0.08004508638027952,0.08181111357502621
Brazil,All sectors with LULUCF,1385677.181,1468225.087,1540143.087,783827.8335,837864.5194,Brazil,8515770.0,0.16271895330662994,0.1724124873029685,0.18085776001465517,0.09204427004252111,0.09838975446730008
Bulgaria,All sectors with LULUCF,25155.9263,26686.2481,22212.3417,35064.0453,2934.9677,Bulgaria,110879.0,0.2268772833449075,0.24067901135472003,0.2003295637586919,0.3162370268490877,0.026470005140739005
Burkina Faso,All sectors with LULUCF,13347.06,17638.9667,18571.0067,9685.2033,28731.726,Burkina Faso,274200.0,0.048676367614879645,0.06432883552151715,0.06772796024799417,0.03532167505470459,0.10478382932166301
Burundi,All sectors with LULUCF,5504.0109,3296.8704,3449.9025,-1380.8289,3582.7346,Burundi,27830.0,0.19777257994969458,0.11846462091268414,0.12396343873517787,-0.04961656126482213,0.12873642112827882
Cambodia,All sectors with LULUCF,6186.8523,6395.249,8720.349,73533.9582,46497.866,Cambodia,181035.0,0.03417489601458281,0.03532603640180076,0.04816940923025934,0.40618641809594824,0.25684462120584417
Cameroon,All sectors with LULUCF,58436.3006,46597.2478,49808.5433,43460.0545,43177.3318,Cameroon,475440.0,0.12290993732121824,0.09800868206293117,0.10476304749284872,0.09141017688877671,0.09081552204273936
Canada,All sectors with LULUCF,642287.9526,906735.3807,862864.3627,727150.6157,599934.0226,Canada,9984670.0,0.06432740917827029,0.09081275402191559,0.08641891646894691,0.07282670490862492,0.06008551335196857
Cayman Islands,All sectors with LULUCF,4.5493,1.9305,1.9305,-1.7112,-3.7005,Cayman Islands,264.0,0.017232196969696967,0.0073125,0.0073125,-0.006481818181818182,-0.014017045454545454
